ReleaseYear,Genre,TotalGames,TotalEarnings,AdjustedTotal,OnlineEarnings,AdjustedOnline,TotalPlayers,TotalTournaments
2014,Strategy,2,1704696.09,1704696.09,0,1,65,13
2020,Collectible Card Game,2,119333.03,119333.03,0,1,51,13
2006,Racing,3,130731.74,130731.74,90731.74,90731.74,33,13
2006,First-Person Shooter,3,218946.91,218946.91,218946.91,218946.91,137,13
2016,Battle Royale,1,2067122,2067122,2067122,2067122,119,13
2005,Sports,3,244464.53,244464.53,244464.53,244464.53,28,14
2002,First-Person Shooter,2,155153.16,155153.16,155153.16,155153.16,33,15
2018,Racing,3,256858,256858,251520,251520,36,16
2006,Sports,3,358029.05,358029.05,358029.05,358029.05,48,16
2004,Fighting Game,5,41234.63,41234.63,40944.17,40944.17,35,18
2009,First-Person Shooter,1,112860.64,112860.64,51010.64,51010.64,59,18
2006,Third-Person Shooter,1,252195.57,252195.57,252195.57,252195.57,33,18
2014,Puzzle Game,3,3918.84,3918.84,1838.75,1838.75,46,19
2005,Fighting Game,6,508415.31,508415.31,508165.31,508165.31,63,19
2005,Racing,3,348064.95,348064.95,332981.39,332981.39,102,21
2013,Role-Playing Game,1,422504.2,422504.2,28500,28500,66,22
2008,Sports,4,223014.31,223014.31,215321.42,215321.42,58,22
2009,Fighting Game,5,14199.74,14199.74,9918.22,9918.22,79,23
2007,Sports,4,328214.09,328214.09,328214.09,328214.09,83,23
2017,Strategy,1,211500,211500,211500,211500,170,24
2003,First-Person Shooter,3,241893.01,241893.01,239306.64,239306.64,240,24
2019,Third-Person Shooter,2,1810250,1810250,680000,680000,200,24
2004,Racing,3,646995.83,646995.83,646995.83,646995.83,89,25
2011,Multiplayer Online Battle Arena,2,471444.47,471444.47,50850,50850,127,32
2000,Fighting Game,4,40676.6,40676.6,39355,39355,76,33
2018,Strategy,5,534909.98,534909.98,237826.91,237826.91,170,35
2012,Strategy,1,2631062.87,2631062.87,1127101.87,1127101.87,191,35
2011,Racing,2,22231.11,22231.11,16691.41,16691.41,23,37
2016,Third-Person Shooter,1,3087285,3087285,3055000,3055000,135,41
2017,Collectible Card Game,4,103534.2,103534.2,77500,77500,63,42
2007,Fighting Game,4,170089.64,170089.64,170069.64,170069.64,109,42
